,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_ae_age,scaled_ae_priors_count,scaled_ae_days_b_screening_arrest,scaled_ae_length_of_stay,scaled_ae_age_cat,scaled_ae_sex,scaled_ae_race,scaled_ae_c_charge_degree,scaled_ae_is_recid,scaled_ae_is_violent_recid,scaled_ae_two_year_recid,origin_ae_age,origin_ae_priors_count,origin_ae_days_b_screening_arrest,origin_ae_length_of_stay,origin_ae_age_cat,origin_ae_sex,origin_ae_race,origin_ae_c_charge_degree,origin_ae_is_recid,origin_ae_is_violent_recid,origin_ae_two_year_recid,running_time,Success?,ground_truth,prediction
0,0.576923076923077,0.02631578947368421,0.000946073793755913,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,63.0,1.0,1.0,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.0,1.0,0.11660083,1.0,Greater than 45,Male,Caucasian,F,0,0,0,18.0,38.0,123.24707,799.0,Greater than 45,Male,Caucasian,F,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.19230769230769232,0.02631578947368421,0.000946073793755913,0.1051314142678348,25 - 45,Female,Caucasian,F,0,0,0,Medium-Low,33.0,1.0,1.0,84.0,25 - 45,Female,Caucasian,F,0,0,0,Medium-Low,0.0,0.35893208,0.016330305,0.24892229,25 - 45,Female,Caucasian,F,0,0,0,18.0,13.639419,17.261133,198.88892,25 - 45,Female,Caucasian,F,0,0,0,0.5385105609893799,Y,High,Medium-Low
0,0.051282051282051294,0.10526315789473684,0.0,0.0025031289111389237,Less than 25,Female,African-American,F,1,1,1,High,22.0,4.0,0.0,2.0,Less than 25,Female,African-American,F,1,1,1,High,0.104293674,0.014184095,0.0,0.0,Less than 25,Female,African-American,F,1,1,1,26.134905,0.5389956,0.0,0.0,Less than 25,Female,African-American,F,1,1,1,0.5385105609893799,N,High,High
0,0.5128205128205129,0.07894736842105263,0.003784295175023652,0.0,Greater than 45,Male,Caucasian,M,0,0,0,Medium-Low,58.00000000000001,3.0,4.0,0.0,Greater than 45,Male,Caucasian,M,0,0,0,Medium-Low,0.0,1.0,0.07950476,0.7077317,Greater than 45,Male,Caucasian,M,0,0,0,18.0,38.0,84.03653,565.47766,Greater than 45,Male,Caucasian,M,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.15384615384615383,0.10526315789473684,0.02554399243140965,0.0012515644555694619,25 - 45,Female,Other,F,1,0,1,Medium-Low,30.0,4.0,27.0,1.0,25 - 45,Female,Other,F,1,0,1,Medium-Low,0.0077109486,0.3563375,0.03715673,0.109791644,25 - 45,Female,Other,F,1,0,1,18.601454,13.540825,39.274666,87.723526,25 - 45,Female,Other,F,1,0,1,0.5385105609893799,Y,High,Medium-Low
0,0.1794871794871795,0.10526315789473684,0.0,0.05506883604505632,25 - 45,Male,African-American,F,1,0,1,Medium-Low,32.0,4.0,0.0,44.0,25 - 45,Male,African-American,F,1,0,1,Medium-Low,0.1628927,0.13377407,0.001318692,0.067394175,25 - 45,Male,African-American,F,1,0,1,30.70563,5.0834146,1.3938575,53.847946,25 - 45,Male,African-American,F,1,0,1,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.14102564102564105,0.15789473684210525,0.002838221381267739,0.0,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,29.000000000000004,6.0,3.0,0.0,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,0.13079646,0.17546946,0.0036510902,0.0075975936,25 - 45,Male,Caucasian,F,1,1,1,28.202124,6.6678395,3.8592024,6.0704775,25 - 45,Male,Caucasian,F,1,1,1,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.21794871794871792,0.02631578947368421,0.000946073793755913,0.0012515644555694619,25 - 45,Male,African-American,M,0,0,0,Medium-Low,35.0,1.0,1.0,1.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.043534458,0.32597625,0.014806027,0.13079555,25 - 45,Male,African-American,M,0,0,0,21.395687,12.387097,15.64997,104.505646,25 - 45,Male,African-American,M,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.2692307692307693,0.5789473684210527,0.000946073793755913,0.003754693366708386,25 - 45,Female,African-American,F,1,1,1,High,39.0,22.000000000000004,1.0,3.0,25 - 45,Female,African-American,F,1,1,1,High,0.7205593,0.0,0.0,0.0,25 - 45,Female,African-American,F,1,1,1,74.20362,0.0,0.0,0.0,25 - 45,Female,African-American,F,1,1,1,0.5385105609893799,N,High,High
0,0.33333333333333337,0.15789473684210525,0.0,0.2428035043804756,25 - 45,Male,African-American,F,1,0,1,Medium-Low,44.0,6.0,0.0,194.0,25 - 45,Male,African-American,F,1,0,1,Medium-Low,0.3333176,0.15792182,1.260699e-06,0.2428152,25 - 45,Male,African-American,F,1,0,1,43.998775,6.001029,0.0013325589,194.00934,25 - 45,Male,African-American,F,1,0,1,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.14102564102564105,0.15789473684210525,0.001892147587511826,0.08385481852315395,25 - 45,Female,Caucasian,F,1,0,1,Medium-Low,29.000000000000004,6.0,2.0,67.0,25 - 45,Female,Caucasian,F,1,0,1,Medium-Low,0.11721151,0.19880968,0.0037845545,0.10154246,25 - 45,Female,Caucasian,F,1,0,1,27.142498,7.554768,4.000274,81.13242,25 - 45,Female,Caucasian,F,1,0,1,0.5385105609893799,Y,High,Medium-Low
0,0.19230769230769232,0.0,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,33.0,0.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.0,0.5065732,0.024376195,0.2189929,25 - 45,Male,Caucasian,F,0,0,0,18.0,19.249783,25.765638,174.97533,25 - 45,Male,Caucasian,F,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.08974358974358973,0.05263157894736842,0.1986754966887417,0.5106382978723404,25 - 45,Female,African-American,F,1,0,1,High,25.0,2.0,210.0,407.99999999999994,25 - 45,Female,African-American,F,1,0,1,High,0.18808517,0.0,0.19086072,0.43759638,25 - 45,Female,African-American,F,1,0,1,32.670643,0.0,201.73978,349.6395,25 - 45,Female,African-American,F,1,0,1,0.5385105609893799,N,High,High
0,0.1794871794871795,0.3684210526315789,0.000946073793755913,0.0012515644555694619,25 - 45,Male,African-American,F,1,0,1,High,32.0,14.0,1.0,1.0,25 - 45,Male,African-American,F,1,0,1,High,0.27867916,0.19799967,0.0,0.0,25 - 45,Male,African-American,F,1,0,1,39.736977,7.5239873,0.0,0.0,25 - 45,Male,African-American,F,1,0,1,0.5385105609893799,N,High,High
0,0.28205128205128205,0.0,0.000946073793755913,0.0,25 - 45,Male,Caucasian,M,1,1,1,Medium-Low,40.0,0.0,1.0,0.0,25 - 45,Male,Caucasian,M,1,1,1,Medium-Low,0.06006138,0.3814,0.018586658,0.1648802,25 - 45,Male,Caucasian,M,1,1,1,22.684788,14.493199,19.646097,131.73929,25 - 45,Male,Caucasian,M,1,1,1,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.12820512820512822,0.10526315789473684,0.000946073793755913,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,28.0,4.0,1.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.085976884,0.17781535,0.0043017715,0.03261606,25 - 45,Male,African-American,F,0,0,0,24.706198,6.7569833,4.5469723,26.060232,25 - 45,Male,African-American,F,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.3076923076923077,0.0,0.006622516556291391,0.0025031289111389237,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,42.0,0.0,7.0,2.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.0,0.82287484,0.044682283,0.35823405,25 - 45,Male,Caucasian,F,0,0,0,18.0,31.269243,47.22917,286.229,25 - 45,Male,Caucasian,F,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.10256410256410256,0.15789473684210525,0.000946073793755913,0.003754693366708386,25 - 45,Female,African-American,F,1,1,1,High,26.0,6.0,1.0,3.0,25 - 45,Female,African-American,F,1,1,1,High,0.13229084,0.10682136,0.0,0.0,25 - 45,Female,African-American,F,1,1,1,28.318684,4.0592117,0.0,0.0,25 - 45,Female,African-American,F,1,1,1,0.5385105609893799,Y,Medium-Low,High
0,0.15384615384615383,0.0,0.0,0.0012515644555694619,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,30.0,0.0,0.0,1.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.0,0.42737323,0.019766947,0.18600611,25 - 45,Male,Caucasian,F,0,0,0,18.0,16.240183,20.893663,148.61888,25 - 45,Male,Caucasian,F,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.4487179487179488,0.13157894736842105,0.000946073793755913,0.0012515644555694619,Greater than 45,Female,African-American,F,0,0,0,Medium-Low,53.00000000000001,5.0,1.0,1.0,Greater than 45,Female,African-American,F,0,0,0,Medium-Low,0.22590978,0.51438475,0.018651683,0.16673952,Greater than 45,Female,African-American,F,0,0,0,35.620964,19.54662,19.714828,133.22488,Greater than 45,Female,African-American,F,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.4871794871794872,0.0,0.0,0.0012515644555694619,Greater than 45,Male,Caucasian,M,0,0,0,Medium-Low,56.0,0.0,0.0,1.0,Greater than 45,Male,Caucasian,M,0,0,0,Medium-Low,0.0,1.0,0.120588444,1.0,Greater than 45,Male,Caucasian,M,0,0,0,18.0,38.0,127.46198,799.0,Greater than 45,Male,Caucasian,M,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.08974358974358973,0.0,0.000946073793755913,0.0,25 - 45,Male,African-American,M,1,0,1,Medium-Low,25.0,0.0,1.0,0.0,25 - 45,Male,African-American,M,1,0,1,Medium-Low,0.020791285,0.11846668,0.0064254175,0.051213454,25 - 45,Male,African-American,M,1,0,1,19.62172,4.501734,6.7916665,40.91955,25 - 45,Male,African-American,M,1,0,1,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.24358974358974358,0.0,0.000946073793755913,0.0,25 - 45,Male,Caucasian,M,1,0,0,Medium-Low,37.0,0.0,1.0,0.0,25 - 45,Male,Caucasian,M,1,0,0,Medium-Low,0.0,0.7645195,0.03630678,0.3305038,25 - 45,Male,Caucasian,M,1,0,0,18.0,29.05174,38.376266,264.07254,25 - 45,Male,Caucasian,M,1,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.24358974358974358,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,37.0,0.0,1.0,1.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,0.0,0.7968568,0.037802447,0.3457348,25 - 45,Male,Caucasian,M,0,0,0,18.0,30.28056,39.957188,276.2421,25 - 45,Male,Caucasian,M,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.42307692307692313,0.3684210526315789,0.010406811731315042,0.008760951188986232,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,51.0,14.0,10.999999999999998,6.999999999999999,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,0.41217512,0.38715142,0.011273132,0.016858136,Greater than 45,Male,African-American,F,0,0,0,50.14966,14.711754,11.9157,13.469651,Greater than 45,Male,African-American,F,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.20512820512820515,0.07894736842105263,0.000946073793755913,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,34.0,3.0,1.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.12137877,0.22283693,0.0076012816,0.063455395,25 - 45,Male,African-American,F,0,0,0,27.467545,8.467803,8.0345545,50.70086,25 - 45,Male,African-American,F,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.10256410256410256,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Male,Other,M,0,0,0,Medium-Low,26.0,0.0,1.0,1.0,25 - 45,Male,Other,M,0,0,0,Medium-Low,0.0,0.82814884,0.039249774,0.35926244,25 - 45,Male,Other,M,0,0,0,18.0,31.469656,41.48701,287.0507,25 - 45,Male,Other,M,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.20512820512820515,0.3684210526315789,0.000946073793755913,0.003754693366708386,25 - 45,Female,African-American,F,0,0,0,High,34.0,14.0,1.0,3.0,25 - 45,Female,African-American,F,0,0,0,High,0.24704385,0.29640597,0.0,0.0,25 - 45,Female,African-American,F,0,0,0,37.26942,11.263427,0.0,0.0,25 - 45,Female,African-American,F,0,0,0,0.5385105609893799,N,High,High
0,0.28205128205128205,0.5526315789473684,0.000946073793755913,0.0362953692115144,25 - 45,Male,African-American,F,0,0,0,High,40.0,21.0,1.0,29.000000000000004,25 - 45,Male,African-American,F,0,0,0,High,0.45789462,0.2505158,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,53.71578,9.5196,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,0.5385105609893799,Y,Medium-Low,High
0,0.14102564102564105,0.07894736842105263,0.05771050141911069,0.04755944931163955,25 - 45,Male,Caucasian,F,1,0,1,Medium-Low,29.000000000000004,3.0,61.0,38.0,25 - 45,Male,Caucasian,F,1,0,1,Medium-Low,0.080528095,0.18288797,0.062517986,0.092493236,25 - 45,Male,Caucasian,F,1,0,1,24.28119,6.949743,66.08151,73.90209,25 - 45,Male,Caucasian,F,1,0,1,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.24358974358974358,0.05263157894736842,0.0,0.0,25 - 45,Male,African-American,M,1,1,1,Medium-Low,37.0,2.0,0.0,0.0,25 - 45,Male,African-American,M,1,1,1,Medium-Low,0.18580623,0.1519092,0.004591807,0.042917967,25 - 45,Male,African-American,M,1,1,1,32.492886,5.7725496,4.85354,34.291454,25 - 45,Male,African-American,M,1,1,1,0.5385105609893799,Y,High,Medium-Low
0,0.06410256410256412,0.02631578947368421,0.000946073793755913,0.0,Less than 25,Male,Caucasian,M,0,0,0,Medium-Low,23.0,1.0,1.0,0.0,Less than 25,Male,Caucasian,M,0,0,0,Medium-Low,0.0,0.19080238,0.008553939,0.07110797,Less than 25,Male,Caucasian,M,0,0,0,18.0,7.2504907,9.041513,56.815266,Less than 25,Male,Caucasian,M,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0025031289111389237,25 - 45,Male,Other,M,1,0,1,Medium-Low,37.0,4.0,1.0,2.0,25 - 45,Male,Other,M,1,0,1,Medium-Low,0.0,0.5301384,0.020597484,0.18617778,25 - 45,Male,Other,M,1,0,1,18.0,20.145258,21.77154,148.75604,25 - 45,Male,Other,M,1,0,1,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.12820512820512822,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,28.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.0,0.31008765,0.012853982,0.111298926,25 - 45,Male,Caucasian,F,0,0,0,18.0,11.783331,13.5866585,88.92784,25 - 45,Male,Caucasian,F,0,0,0,0.5385105609893799,Y,High,Medium-Low
